,status,price,bed,bath,acre_lot,city,zip_code,house_size,prev_sold_date,Special_property,County,2023 General Hospital Facilities,2023 General Hospital Total Occupancy Rate,2023 General Hospital Average Stay in Days,2023 Nursing Home Facilities,"2023 Nursing Home Average Occupancy, Percent",2023 Child Care Learning Centers,"2023 Reported Violent Crime, Murder","2023 Reported Violent Crime, Rape","2023 Reported Violent Crime, Robbery","2023 Reported Violent Crime, Aggravated Assault",2023 Total Violent Crimes Reported,"2023 Reported Violent Crimes, Percent","2023 Reported Violent Crime Rate per 100,000 Population","2023 Reported Property Crime, Burglary","2023 Reported Property Crime, Larceny","2023 Reported Property Crime, Motor Vehicle Theft",2023 Total Property Crimes Reported,"2023 Reported Property Crimes, Percent","2023 Reported Property Crime Rate per 100,000 Population",2021 Total Index Crimes Reported,2023 Total Index Crimes Reported,2022 Average Number of Months Reported,2023 Average Number of Months Reported,2021-2023 Percent Change in Total Crimes Reported,"2023 Total Index Crime Rate per 100,000 Population",2023 Rank of Rate,"2022 Average Number of Establishments, All Industries","2022 Average Number of Establishments, Goods Producing Industries","2022 Average Number of Establishments, Agriculture, Forestry, Fishing and Hunting","2022 Average Number of Establishments, Construction","2022 Average Number of Establishments, Manufacturing","2022 Average Number of Establishments, Government","2022 Average Number of Establishments, Service Providing Industries","2022 Average Number of Establishments, Wholesale Trade Industries","2022 Average Number of Establishments, Retail Trade Industries","2022 Average Number of Establishments, Transportation and Warehousing Industries","2022 Average Number of Establishments, Finance and Insurance Industries","2022 Average Number of Establishments, Professional, Scientific, and Technical Services","2022 Average Number of Establishments, Administrative, Support, Waste Management, and Remediation Industries","2022 Average Number of Establishments, Health Care and Social Assistance Industries","2022 Average Number of Establishments, Accommodation and Food Services Industries",2014 Unemployment Rate,2015 Unemployment Rate,2016 Unemployment Rate,2017 Unemployment Rate,2018 Unemployment Rate,2019 Unemployment Rate,2020 Unemployment Rate,2021 Unemployment Rate,2022 Unemployment Rate,2023 Unemployment Rate
10,for_sale,19000,,,0.88,Blairsville,30512,,,TRUE,Union,1,0.00%,-,1,61.80%,4,0,2,0,13,15,11.50%,55,18,90,6,114,87.70%,418,193,130,12,8.7,-32.60%,476.6,18,809,144,8,101,33,32,534,27,107,22,38,52,32,88,62,6.60%,5.40%,4.80%,4.50%,3.70%,3.20%,4.40%,2.80%,2.80%,2.80%
11,for_sale,210000,3,3,0.99,Hephzibah,30815,1798,12/19/1991,FALSE,Richmond,3,34.70%,5.8,10,67.50%,77,44,108,159,878,"1,189",14.70%,574.1,866,"5,101",889,"6,856",84.90%,"3,310.50",11,"8,074",7.2,6,73300.00%,"3,898.60",145,"5,623",535,7,370,155,154,"4,339",202,822,120,224,558,356,720,541,8.70%,7.50%,6.80%,6.00%,5.20%,4.70%,7.60%,5.30%,4.40%,4.60%
12,for_sale,230000,4,3,0.33,Hephzibah,30815,2373,3/1/2005,FALSE,Richmond,3,34.70%,5.8,10,67.50%,77,44,108,159,878,"1,189",14.70%,574.1,866,"5,101",889,"6,856",84.90%,"3,310.50",11,"8,074",7.2,6,73300.00%,"3,898.60",145,"5,623",535,7,370,155,154,"4,339",202,822,120,224,558,356,720,541,8.70%,7.50%,6.80%,6.00%,5.20%,4.70%,7.60%,5.30%,4.40%,4.60%
13,for_sale,449000,,,34.32,Elberton,30635,,12/15/2021,TRUE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
14,for_sale,60000,,,0.61,Elberton,30635,,,TRUE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
15,for_sale,45000,,,2.15,Elberton,30635,,3/10/2017,TRUE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
16,for_sale,950000,,,192.14,Elberton,30635,,8/15/2019,TRUE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
17,for_sale,2416961,,,410.35,Elberton,30635,,10/1/2007,TRUE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
18,for_sale,119000,2,2,1.46,Elberton,30635,1596,4/29/2022,FALSE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
19,for_sale,244900,3,2,3,Elberton,30635,1440,4/22/2022,FALSE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
20,for_sale,24975,,,3.33,Elberton,30635,,,TRUE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
21,for_sale,324000,,,27.03,Elberton,30635,,,TRUE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
22,for_sale,133499,,,37.04,Elberton,30635,,5/20/2022,TRUE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
23,for_sale,79900,,,0.9,Elberton,30635,,,TRUE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
24,for_sale,237000,3,2,2.77,Elberton,30635,1836,5/23/2016,FALSE,Elbert,1,20.90%,8.1,3,87.00%,7,0,3,0,30,33,17.20%,165.6,18,130,11,159,82.80%,797.9,326,192,11.5,11.5,-41.10%,963.5,62,578,153,9,48,83,36,349,52,77,25,26,33,20,39,28,8.70%,7.60%,6.60%,5.30%,4.80%,4.00%,6.90%,4.90%,3.80%,3.60%
25,for_sale,169900,2,1,0.88,Cornelia,30531,864,9/20/2019,FALSE,Habersham,1,18.80%,3.1,2,74.00%,8,0,17,1,26,44,13.70%,91.2,42,210,22,274,85.10%,567.9,376,322,5.9,6,-14.40%,667.3,33,"1,135",173,13,97,62,60,804,45,177,19,55,82,71,108,105,7.00%,5.80%,5.40%,4.60%,3.80%,3.50%,5.40%,3.60%,3.20%,3.10%
26,for_sale,189900,3,2,0.25,Toccoa,30577,1590,,FALSE,Stephens,1,16.00%,4.5,1,54.60%,6,0,9,3,28,40,9.80%,149.3,37,305,26,368,90.00%,"1,373.50",356,409,6,6,14.90%,"1,526.50",101,657,114,5,54,54,27,456,32,110,13,32,41,37,71,44,7.70%,6.60%,6.00%,5.30%,4.60%,3.90%,6.30%,4.40%,3.70%,3.60%
27,for_sale,225000,3,2,6.61,Demorest,30535,1400,8/23/2018,FALSE,Habersham,1,18.80%,3.1,2,74.00%,8,0,17,1,26,44,13.70%,91.2,42,210,22,274,85.10%,567.9,376,322,5.9,6,-14.40%,667.3,33,"1,135",173,13,97,62,60,804,45,177,19,55,82,71,108,105,7.00%,5.80%,5.40%,4.60%,3.80%,3.50%,5.40%,3.60%,3.20%,3.10%
